seq	headword	coinage_cats	modern_cats	source_period
140	דַּרְכּוֹן א	[10]	[]	N
141	אַדְוָה	[16]	[]	N
142	גַּחְלִיל	[7]	[]	N
143	תַּכְתִּיב	[4]	[]	N
144	מִכְמָס	[4]	[1]	M
145	חֲשִׁישׁ	[16]	[]	N
146	הַרְבָּיָה	[4]	[1]	M
147	פַּקְפְּקָנוּת	[10]	[]	N
148	תּוֹרָה	[4]	[1]	B
149	תַּפּוּחָה	[10]	[]	N
150	שִׁיּוּךְ	[4]	[]	N
151	קִוּוּי א	[4]	[1]	C
152	כַּדּוּרוֹן	[10]	[]	N
153	טַמְבּוֹן	[20]	[]	N
154	רַפְתָנוּת	[10]	[]	N
155	קוֹלְנוֹעָן	[10]	[]	N
156	בִּמְקוֹם	[24]	[1]	M
157	מִיקְסְטוּרָה	[20]	[]	N
158	הִתָּכְפוּת	[4]	[]	N
159	בַּעֲלוּת	[10]	[]	N
160	מַרְעִין	[16]	[1]	C
161	חוֹלָה	[10]	[1]	C
162	הֶדְגֵּם	[4]	[]	N
163	הֶפְרֵעַ	[4]	[]	N
164	מִכְזָב	[4]	[]	N
165	רְטִיבוּת	[10]	[1]	M
166	יָנוּס	[20]	[]	N
167	בַּמַּאי	[10]	[]	N
168	מַיִר	[4]	[1]	M
169	הִתְיַבְּשׁוּת	[4]	[1, 2]	M
170	נְעוּרוֹת	[4]	[1]	B
171	חַפָּר	[4]	[]	N
172	הִתְדַּלְדְּלוּת ב	[4]	[1]	M
173	סַבֶּבֶת	[4]	[]	N
174	אַרְכִיבִּישׁוֹף	[20]	[]	N
175	עָתָק	[4]	[1]	B
176	מָלוֹן	[4]	[1]	B
177	צִיטָט	[20]	[]	N
178	שִׁפּוּל	[4]	[1]	C
179	מַעֲרִיךְ	[4]	[1, 2]	M
180	אִחוּר	[4]	[1]	C
181	שִׁינָה	[20]	[]	N
182	פַּרְדִּישְׁנָא	[16]	[1]	C
183	גִּיחוֹרוּת	[10]	[]	N
184	אַקְוָה	[4, 23]	[]	N
185	מִיקְרוֹקוֹסְמוֹס	[20]	[]	N
186	פּוֹלִיפוֹנְיָה	[20]	[]	N
187	קְלָסִיקוֹן	[11]	[]	N
188	קֶטְשׁוֹפּ	[20]	[]	N
189	קַפְרֵס	[19]	[1]	C
190	הָקֵר ב	[20]	[]	N
191	הַבְלָגָה	[4]	[1]	M
192	לֵנִינִיזְם	[20]	[]	N
193	גְּלוּקוֹזָה	[20]	[]	N
194	מִשְׁתֶּה	[4]	[1]	B
195	מַקְבִּילוּת	[10]	[]	N
196	קוּגֵלָגֵר	[20]	[]	N
197	מְאַהֶבֶת	[4]	[]	N
198	הֶקְדֵּשׁ	[4]	[1, 2]	C
199	מְזַבֶּלֶת	[4]	[]	N
200	מָצוֹר	[4]	[1]	B
201	חַמּוּת	[10]	[1]	C
202	פְּרִיט	[4]	[]	N
203	שְׁפִיטוּת	[10]	[]	N
204	צְלָלִית	[10]	[]	N
205	מִמְשָׁל	[4]	[1, 2]	B
206	מוֹרָל	[20]	[]	N
207	הֲפָחָה	[4]	[1]	M
208	שַׁתֶּקֶת	[4]	[]	N
209	סוּסִיּוּת	[10]	[1]	M
210	מִתְקָף	[4]	[]	N
211	אִיטְרִיּוּם	[20]	[]	N
212	הַשְׁלָיָה	[4]	[]	N
213	שֶׁקֶל א	[0]	[1, 2]	B
214	הִרְמוּן ב	[4]	[]	N
215	קִבֹּֽרֶת	[16]	[1]	C
216	סְתַכְּלָנוּת	[10]	[]	N
217	אַדְרִיכָל	[16]	[1, 2]	C
218	מֵנִיסְק	[20]	[]	N
219	מִגְמֶשֶׁת	[4]	[]	N
220	נִירוּת	[10]	[]	N
221	אֲדִיקָה	[4]	[1]	M
222	פַּטֶּרֶת	[4]	[]	N
223	דּוֹרְשָׁן	[10]	[1]	C
224	שֶׁלֶט א	[0]	[1]	B
225	הַקְהֵל	[4]	[1]	C
226	חֲנֻכָּה	[4]	[1]	B
227	מוֹנוֹמָן	[20]	[]	N
228	מִסְחָף	[4]	[]	N
229	גִּחוּכִיּוּת	[10]	[]	N
230	נוֹגֵשׂ	[4]	[1]	B
231	זֵק א	[0]	[1]	B
232	מַשְׁחֶתֶת	[21, 22]	[]	N
233	יַעֲרָן	[4]	[]	N
234	מְשִׁישָׁה	[4]	[1, 2]	M
