seq	headword	coinage_cats	modern_cats	source_period
610	כִּבְשׁוֹן א	[4]	[1]	C
611	הִתְקוֹנְנוּת	[4]	[]	N
612	כְּבִילָה	[4]	[]	N
613	מִתְנָן	[16]	[]	N
614	הִתְבָּרְכוּת	[4]	[]	N
615	צֵ׳ט	[20]	[]	N
616	אִנְפּוּף	[4]	[]	N
617	פֵּאָה	[0]	[1, 2]	B
618	מְהִילָה ב	[4]	[1]	C
619	אֶקְדָּחוֹן	[10]	[]	N
620	מוֹשֵׁל ב	[4]	[1]	B
621	דַּקְרוֹן	[20]	[]	N
622	דְּחֹֽסֶת	[4]	[]	N
623	שִׁדְרִית	[10]	[]	N
624	שְׁפֹֽכֶת	[4]	[]	N
625	הִפָּחֲתוּת	[4]	[]	N
626	מְטוֹסַאי	[10]	[]	N
627	טִגּוּן	[4]	[1]	C
628	אֲוֵרָה	[0]	[1]	B
629	חֲבָטָה	[4]	[1, 2]	C
630	צִיּוּד	[4]	[]	N
631	רְתִיקוּת	[10]	[]	N
632	טִלְגְּרוּף	[4]	[]	N
633	עֵשֶׂק	[4]	[1]	B
634	חֹל	[4]	[1]	B
635	אַלְמֻגִּית	[10]	[]	N
636	פַּעֲרוּר	[4, 7]	[]	N
637	סַפַּחַת	[4]	[1, 2]	B
638	זַ׳נְדַּרְם	[20]	[]	N
639	מְנַקִּיָּה א	[4]	[1]	B
640	גִּמּוּם	[4]	[1, 2]	M
641	מַבְרִיחָן	[10]	[]	N
642	תְּפוּגָה	[4]	[1]	M
643	קַרְגּוֹ	[20]	[]	N
644	כִּילוּת	[10]	[1]	M
645	סַטְרָן	[4]	[]	N
646	שׁוּם א	[0]	[1]	B
647	אַפְלוּלִית	[10]	[]	N
648	סִיגִית	[10]	[]	N
649	טוֹמוֹגְרָף	[20]	[]	N
650	צִיּוֹן ב	[10]	[]	N
651	לִסְטִים	[20]	[1]	C
652	עִלּוּב	[4]	[]	N
653	גִּבּוּב	[4]	[]	N
654	בִּלְבֹּֽלֶת	[4]	[]	N
655	גַּיִס	[16]	[1, 2]	C
656	תֵּמַהּ	[4]	[1]	C
657	דִּיסְטַנְס	[20]	[]	N
658	יוֹף	[4]	[1]	M
659	רַטְבּוּבִית	[10]	[]	N
660	בַּיְתּוֹסִים	[6]	[1]	C
661	קָרִיעַ	[4]	[]	N
662	שַׁתְיָן	[4]	[]	N
663	בַּלְנָרִים	[20]	[1]	C
664	פְּרִיבִילֶגְיָה	[20]	[]	N
665	גִּלּוּל	[0]	[1]	B
666	חִבּוּר	[4]	[1]	C
667	פְּרִינְצִיפּ	[20]	[]	N
668	אַקְצֶנְט	[20]	[]	N
669	עַכָּל	[4]	[]	N
670	קַסְקֵט	[19]	[]	N
671	הַזְיָן	[4]	[]	N
672	שַׁבְשָׁן	[4]	[]	N
673	הַגְלָמָה	[4]	[]	N
674	פִּלְפְּלוֹן	[10]	[]	N
675	דִּפְיוֹן	[4]	[1]	M
676	אָכָטִיס	[20]	[1]	C
677	נְפוּצוֹת	[4]	[1]	B
678	טֹֽעַן	[4]	[1]	C
679	הַעֲמָסָה	[4]	[]	N
680	אַנְטִינוֹמְיָה	[20]	[]	N
681	הֶחְכֵּר	[4]	[]	N
682	צְבִיאָה	[4]	[1]	M
683	תַּזְקִיק	[4]	[]	N
684	מַהֲלוֹם	[4]	[1]	M
685	תֶּלֶשׁ	[4]	[]	N
686	הַשְׁבָּרָה	[4]	[]	N
687	כְּלַאי	[10]	[]	N
688	אֲנָקָה א	[4]	[1]	B
689	הַפְלָטָה	[4]	[]	N
690	הוֹן א	[0]	[1, 2]	B
691	קֶנְגּוּרוּ	[20]	[]	N
692	קוֹרֶסְפּוֹנְדֶּנְצִיָּה	[20]	[]	N
693	הַפְרָאָה	[4]	[]	N
694	דָּבָר	[0]	[1]	B
695	מַחְוָה	[4]	[1]	M
696	עֲיָרָה	[4]	[]	N
697	הִתְעַנְּנוּת	[4]	[]	N
698	מַרְטִיר	[20]	[]	N
699	פֻּזְמָק	[20]	[1]	C
700	גֶּבֶס	[19]	[]	N
701	זִיוָה	[10]	[1]	M
702	דְּלִיקוּת	[10]	[]	N
703	גִּלְווּן	[4]	[]	N
704	תַּגְלִית	[4]	[]	N
705	נְגִיחָה	[4]	[1]	C
706	פַּרְוִית	[10]	[]	N
707	הִטַּפְּלוּת	[4]	[]	N
708	בּוֹהֵמָה	[20]	[]	N
709	שִׁעוּל	[4]	[1]	M
710	אָזְנִית ב	[10]	[1]	C
711	אִסָּר ב	[19]	[1]	M
712	אוֹפּוֹרְטוּנִיסְט	[20]	[]	N
713	מְכוֹנַאי	[10]	[]	N
714	כִּתָּתִיּוּת	[10]	[]	N
715	הִתְגַּמְּשׁוּת	[4]	[]	N
716	מַדֶּֽרֶךְ	[14]	[]	N
717	גִּיף	[16]	[1]	C
718	דִּיפְתּוֹנְגּ	[20]	[]	N
719	קוֹצֵר	[4]	[1]	B
720	סְפָרַדִּית	[10]	[]	N
721	אָֽלֶ״ף	[0]	[1]	C
722	סַאסְּאָה	[0]	[1]	B
723	זִיזָנִית	[10]	[]	N
724	פַּחָחוּת	[10]	[]	N
725	גִּמְרָה	[4]	[]	N
726	רְמִיזָא	[16]	[1]	C
727	שִׁגּוּר	[4]	[]	N
728	רֵאָיוֹן	[4]	[2]	C
729	רַדְיוּס	[20]	[]	N
730	שִׁדּוּל	[4]	[1]	M
731	סִידָן	[10]	[]	N
732	מְיֻחָדוּת	[10]	[]	N
733	אֲחִישֶׁבֶת	[14]	[]	N
734	צִבְעוֹנִיּוּת	[10]	[]	N
735	קְלִיעָה א	[4]	[1]	C
736	נוֹשֵׂאת	[21]	[]	N
737	הִתְמַקְּדוּת	[4]	[]	N
738	אוֹבְּלִיגַצְיָה	[20]	[]	N
739	מַחְמָאָה	[4]	[3]	C
740	מִסְעָדָה	[4]	[]	N
741	לוֹקוֹמוֹטִיב	[20]	[]	N
742	אֵשֶׁל א	[0]	[1]	B
743	קוֹלָה	[20]	[]	N
744	צֵרוּךְ	[4]	[1]	M
745	כְּבִיָּה	[4]	[1]	C
746	גְּרוֹר	[4]	[]	N
747	שֵׁרוּץ	[4]	[1]	M
748	עָרוּץ	[0, 22]	[1, 2]	B
749	וִתּוּר	[4]	[1]	C
750	צוּקָה	[4]	[1]	B
751	פִּנָּה	[4]	[1]	B
752	אֶגְלִיל	[4, 7]	[]	N
753	גְּלִילִיּוּת	[10]	[]	N
754	עָגִיל	[4]	[1]	B
755	מְלֵאָה א	[4]	[1]	B
756	קַרְטוֹן	[20]	[]	N
757	מַבּוּעַ	[4]	[1]	B
758	רוֹל	[20]	[]	N
759	רֶקְוִיזִיט	[20]	[]	N
760	קְרִיזָה	[20]	[]	N
761	בַּלְפָן	[4]	[]	N
762	אַנְפִּין	[16]	[1]	M
763	מַגְלוּל	[4]	[]	N
764	לָבִיא	[0]	[1]	B
765	מַרְשֶׁה	[4]	[]	N
766	יִשּׁוּן א	[4]	[1]	B
767	קָרְחָה	[4]	[1]	B
768	אִוְזוּז	[4]	[]	N
769	מִישׁוֹר	[4]	[1]	B
770	מְנַתֵּק	[4]	[]	N
771	גְּלַדְיוֹלָה	[20]	[]	N
772	דֵּנוֹמִינָטִיב	[20]	[]	N
773	שְׁתַמְּטָן	[4]	[]	N
774	מַזְלֵג	[]	[2]	B
775	זֶבֶל	[]	[1]	C
776	סֵלֵנוֹגְרַפְיָה	[20]	[]	N
777	הֲמִית	[]	[1]	B
778	נְחִיצָה	[]	[1]	C
779	דִּלְפָּה	[]	[1]	C
780	מַרְדּוּת	[]	[1]	C
781	עֵיפָתָה	[]	[1]	B
782	כִּנּוּן ב	[4]	[]	N
783	חֶרֶץ	[]	[1]	C
784	מַדְרֵגוֹן	[10]	[]	N
785	אִטּוּם	[]	[1]	M
786	הִתְבַּדְּלוּת	[4]	[]	N
787	בָּלִיסְטִיקָה	[20]	[]	N
788	טֵיגָן	[]	[1]	C
789	אוֹפֵּרֵטָה	[20]	[]	N
790	דִּיסְלוֹקַצְיָה	[20]	[]	N
791	דֶּבֶב	[]	[2]	M
792	סְפִּינָקֵר	[20]	[]	N
793	פּוֹזָה	[20]	[]	N
794	סִימְבְּיוֹזָה	[20]	[]	N
795	וֶרֶד	[]	[1]	C
796	גְּעִירָה	[]	[1]	N
798	מְלַוַּֽחַת	[4, 22]	[]	N
799	מֹֽתֶק	[]	[1, 2]	B
800	מַטְבַּעַת	[4]	[]	N
801	מַגֵּפָה	[]	[1]	B
802	קוֹלוּמְבַּרְיוּם	[20]	[]	N
803	תָּכְנִית	[]	[2]	B
804	חֶנֶן	[]	[1]	M
805	לֶקְסִיקוֹן	[20]	[]	N
806	רַחְרְחָנוּת	[10]	[]	N
807	זַלְזֶלֶת	[4]	[]	N
808	נַקְמָנוּת	[4]	[]	N
809	בִּירָה ב	[19]	[]	N
810	הַעֲלָבָה	[4]	[]	N
811	סִיר א	[]	[1]	B
812	זְנִיקָה	[4]	[]	N
813	קֶרֶץ ד	[4]	[]	N
814	הִסָּגְרוּת	[4]	[]	N
815	חֲרָשְׁתָּנוּת	[10]	[]	N
816	עֲרִיפָה ב	[]	[1]	M
817	הֶסֵּט	[]	[1]	C
818	שֶׁלַח ו	[16]	[]	N
819	דֵּמַרְקַצְיָה	[20]	[]	N
820	נְזוֹרוּת	[]	[1]	M
821	זוֹלוּת	[10]	[]	N
822	צְרִיפָה	[]	[1]	C
823	שַׁחַק א	[]	[1]	B
824	מִדְלָח	[]	[1]	M
825	נִימוּסִיּוּת	[10]	[]	N
826	מַדְזָוִית	[14, 22]	[]	N
827	מְרַצֵּף	[4]	[]	N
828	עֲמִילוּת	[10]	[]	N
829	הִגָּרְרוּת	[10]	[]	N
830	כִּשָּׁלוֹן	[]	[1]	B
831	שִׁקּוּף	[4]	[]	N
832	דּוֹ	[20]	[]	N
833	שִׁגְלוֹנָה	[]	[1]	C
834	דִּמְיוֹנוּת	[]	[1]	M
835	פֶּסֶק	[]	[2]	C
836	אַבְּסְטְרַקְט	[20]	[]	N
837	קְטָלָא	[]	[1]	C
838	אָתוֹן	[]	[1]	B
839	הֶקְטוֹגוֹן	[20]	[]	N
840	הַלְחָנָה	[4]	[]	N
841	תְּסוּגָה	[4]	[]	N
842	מַקְשֶׁה	[]	[1]	C
843	שֶׁרֶב	[]	[1]	M
844	מַצֶּגֶת	[4]	[]	N
845	מִיקוֹלוֹגְיָה	[20]	[]	N
846	חֲמִיטָה ב	[4]	[]	N
847	מִבְדָּק	[4]	[]	N
848	פִּילְבּוֹקְס	[20]	[]	N
849	מִלְאֶה	[]	[1]	M
850	מָלוֹשׁ	[]	[1]	C
851	עֲתִידָה	[]	[1]	B
852	שַׁדְרָן	[4]	[]	N
853	אַנְתְּרוֹפּוֹלוֹג	[20]	[]	N
854	נְקִיפָה א	[4]	[]	N
855	גַּל ג	[]	[2]	C
856	אָדַפְּטַצְיָה	[20]	[]	N
857	טֶפֶל	[]	[1]	C
858	קַלְגַּס	[]	[1]	C
859	אֵמוּן	[]	[1]	B
860	מִכְלָל	[]	[1]	M
861	כֹּֽעַר	[4]	[]	N
862	מְלִיאָה	[]	[2]	C
863	קְטוּמָה	[]	[1]	M
864	תַּחְקִיר	[4]	[]	N
865	הִנָּזְקוּת	[10]	[]	N
866	קְרִיאָה	[]	[1]	B
867	שֶׁקֶק ב	[4]	[]	N
868	יַמָּאוּת	[10]	[]	N
869	חֲלִי	[]	[1]	B
870	מִתְאַגְרֵף	[4]	[]	N
871	בָּלָגָן	[20]	[]	N
872	הִזְדַּיְּנוּת	[10]	[]	N
873	הָשֵׁב	[]	[1]	C
874	פַּחֲזָה	[4]	[]	N
875	שִׁקּוּי	[]	[1]	B
876	בַּרְוָזוֹן	[10]	[]	N
877	מוֹגֵרָה	[]	[1]	C
878	אֵפֶקְטִיבִיּוּת	[11]	[]	N
880	צַפִּיחִית	[]	[1]	B
881	בֻּבָּנָאוּת	[10]	[]	N
882	בָּנָלִיּוּת	[11]	[]	N
883	דַּגַּאי	[10]	[]	N
884	סִינְדִּיקָט	[20]	[]	N
885	יַשְׁנָן	[4]	[]	N
886	מִשְׁנָה	[]	[1]	C
887	דַּקּוּת	[]	[1]	M
888	שְׁכוֹל	[]	[1]	B
889	חִבֵּל	[]	[1]	B
890	מִתְלָעָה	[4]	[]	N
891	כִּכָּר ג	[]	[1]	B
892	אֶשֶׁשׁ	[]	[1]	C
893	עַרְס	[16]	[]	N
894	חַבְּלָנִית	[10]	[]	N
895	בְּרִירָה	[]	[1]	C
896	כּוּמָז	[]	[1]	B
897	הֵהָנוּת	[10]	[]	N
898	רְכוּשׁוֹת	[10]	[]	N
899	טָבֶרְנָה	[20]	[]	N
900	פַּאי	[20]	[]	N
901	רוֹבַאי	[10]	[]	N
902	אֲפוֹר	[4]	[]	N
903	הַחְשָׁכָה	[]	[2]	M
904	קַפִּיטוּלַצְיָה	[20]	[]	N
905	זַעֲפָנוּת	[10]	[]	N
906	שִׂישָׂה	[]	[1]	C
907	קֶצֶב ב	[]	[1]	B
908	מַפּוּחַ	[]	[1]	B
909	אִיתוֹן	[]	[2]	B
910	רִנּוּן	[]	[1]	C
911	תְּכָכִים	[]	[1]	B
912	מִנְסָרָה א	[4, 22]	[]	N
913	אֵגוֹ	[20]	[]	N
914	אַפְרוֹדִיזְיָאק	[20]	[]	N
915	יֶשַׁח	[]	[1]	B
916	הִסְתָּאֲבוּת	[10]	[]	N
917	שַׁחֶמֶת	[4, 22]	[]	N
918	פָּפָּרָצִי	[20]	[]	N
919	חָרוּז א	[]	[1]	B
920	פְּרֵצֶסְיָה	[20]	[]	N
921	תַּבְרִיג	[4]	[]	N
922	נוֹאֵף	[]	[1]	B
923	רֵזִ׳יסוֹר	[20]	[]	N
924	מַשְׁגּוֹחַ	[4, 22]	[]	N
925	פְּצִיחָה ב	[4]	[]	N
926	הִנָּזְרוּת	[10]	[]	N
927	שְׁבוּעָה	[]	[1]	B
928	פַּרְפְּרָאוֹת	[]	[1]	C
929	מָזוֹכִיזְם	[20]	[]	N
930	אִפְרוּר	[4]	[]	N
931	קֹבֶל א	[]	[1]	B
932	צוֹמֵד	[4]	[]	N
933	מְרַאֲשׁוֹת	[]	[1]	B
934	פּוּדְרָה	[20]	[]	N
935	מְהָרֵס	[]	[1]	B
936	נַשְׁפָן	[4]	[]	N
937	כְּבָסִים	[4]	[]	N
938	טַיִר	[]	[1]	C
939	טִפָּה	[]	[1]	C
940	תִּנְעֹֽמֶת	[4]	[]	N
941	מַחְמָק	[4]	[]	N
942	עֲשִׁישׁוּת	[10]	[]	N
943	בַּרְקָרוֹלָה	[20]	[]	N
944	בִּצָּרוֹן א	[]	[2]	B
945	אוֹרְגָּנִיזָטוֹר	[20]	[]	N
946	מִמְשָׁק א	[]	[1]	B
947	קַרְדָּמִין	[20]	[]	N
948	גֵּד	[]	[1]	C
949	בִּדֹּֽקֶת	[4]	[]	N
950	מִרְשַׁעַת	[]	[1]	B
951	גִּלּֽוּחַ	[]	[1]	C
952	הִתְפַּטְּמוּת	[10]	[]	N
953	דּוּכְסוּסְטוֹס	[]	[1]	C
954	הִתְעַרְבְּלוּת	[10]	[]	N
955	זַנְזֹֽנֶת	[4]	[]	N
956	בּוּרָיוֹת	[]	[1]	C
957	הֶעָזָה ב	[4]	[]	N
958	פֶּלֶךְ ב	[]	[1]	B
959	נְקִיטָה ב	[4]	[]	N
960	מַחְקָן	[4]	[]	N
961	חָרָךְ	[]	[1]	B
962	לִיּוּף	[]	[1]	C
963	שְׁנִיּוּת	[]	[1]	M
964	פְּרוֹפִיל	[20]	[]	N
965	צִיתָרָן	[11]	[]	N
966	חֲלִיפָה ב	[]	[1]	B
967	מַחְשֵׁב א	[]	[1]	M
968	קִזָּה	[4]	[]	N
969	סֶקְס	[20]	[]	N
970	סַלְתָנִית	[]	[1]	C
971	הִמָּחֲקוּת	[10]	[]	N
972	סֹֽהַר	[]	[1]	B
973	רְבִיעַ ב	[]	[1]	M
974	קֶרֶשׁ א	[]	[1]	B
975	רֶשֶׁת	[22]	[1, 2]	B
976	סוֹל ב	[20]	[]	N
977	אֱוִילוּת	[]	[1]	M
978	קַשְׁמִיר	[20]	[]	N
979	אוֹר ב	[]	[1]	C
980	קִטּֽוּעַ	[]	[1]	C
981	צִחָיוֹן	[]	[1]	M
982	סוֹצְיָאלִיזְם	[20]	[]	N
983	שִׁמּוּד	[4]	[]	N
984	כָּרָר	[]	[1]	C
985	חֻקָּה	[]	[2]	B
986	מִזְכָּר	[4, 22]	[]	N
987	הִתְרַפְּאוּת	[]	[1]	M
988	הִפָּתְחוּת	[10]	[]	N
989	אִידֵאוֹגְרָמָה	[20]	[]	N
990	אָנָלוֹגְיָה	[20]	[]	N
991	חֶשְׁקָה	[]	[1]	M
992	נִבְזוּת	[10]	[]	N
993	מִגְזָרָה	[4]	[]	N
994	חֶלְמוֹן	[]	[1]	C
995	פּוֹלֵימַרְכוֹס	[]	[1]	C
996	יְשִׁישׁוּת	[]	[1]	M
997	לְטִישָׁה	[]	[1]	C
998	הִתְחַמְּקוּת	[10]	[]	N
999	גֵּאוֹלוֹג	[20]	[]	N
1000	רְפָפָה	[]	[2]	C
1001	פְּרֵהִיסְטוֹרְיָה	[20]	[]	N
1002	חֶמְדּוֹן	[]	[1]	M
1003	לְחִיצָה	[]	[1]	C
1004	אֲחִידוּת	[10]	[]	N
1005	יוֹקֵד	[]	[1]	B
1006	מְכִינָה	[4]	[]	N
1007	תַּמְרוּט	[4]	[]	N
1008	פְּקִיעַ א	[]	[1]	C
1009	קַרְקָשׁ ב	[4]	[]	N
1010	אֲקָרִית	[11]	[]	N
